Id;Default
1200;SMC_DEC_ACC_TOO_LITTLE
1201;SMC_DEC_RET_TOO_LITTLE
1202;SMC_DEC_OUTQUEUE_RAN_EMPTY
1203;SMC_DEC_JUMP_TO_UNKNOWN_LINE
1204;SMC_DEC_INVALID_SYNTAX
1205;SMC_DEC_3DMODE_OBJECT_NOT_SUPPORTED
1206;SMC_DEC_NEGATIVE_PERIOD
1207;SMC_DEC_DIMENSIONS_EXCLUSIVE_AU
1208;SMC_DEC_DIMENSIONS_EXCLUSIVE_BV
1209;SMC_DEC_DIMENSIONS_EXCLUSIVE_CW
1210;SMC_DEC_DCS_NOT_ALL_OF_ABC_GIVEN
1211;SMC_DEC_DCS_2D_NOT_IN_XY_PLANE
1212;SMC_DEC_CIRCLE_NON_UNIFORM_SCALING
1213;SMC_DEC_ROTATION_AFFECTS_SCALING
1214;SMC_DEC_DCS_NOT_ALL_OF_IJK_GIVEN
1250;SMC_IPR_LOCAL_VAR_UNKNOWN_TYPE
1251;SMC_IPR_LVALUE_WRONG_TYPE
1252;SMC_IPR_EVAL_STACK_OVERFLOW
1253;SMC_IPR_NOT_A_NUMBER
1254;SMC_IPR_DIVISION_BY_ZERO
1255;SMC_IPR_INVALID_SCALING_FACTORS
1256;SMC_IPR_INTERPRETER_STACK_IMBALANCE
1257;SMC_IPR_INTERPRETER_STACK_OVERFLOW
1258;SMC_IPR_INVALID_INTERPRETER_STACK_BUFFER
1259;SMC_IPR_BUFFER_TOO_SMALL
1280;SMC_DNCCS_NO_DATA
1281;SMC_DNCCS_TOO_MANY_CALLSTACKS
1282;SMC_DNCCS_INVALID_PROGRAM_INDEX
1283;SMC_DNCCS_TOO_MANY_PROGRAMS
1284;SMC_DNCCS_WRONG_TASK
1300;SMC_GCV_BUFFER_TOO_SMALL
1301;SMC_GCV_BUFFER_WRONG_TYPE
1302;SMC_GCV_UNKNOWN_IPO_LINE
1400;SMC_CNC_INTERNAL_ERROR
1401;SMC_PATH_MAX_HPOINTS_EXCEEDED
1410;SMC_TRC_G75_NOT_ALLOWED
1411;SMC_TRC_QUEUE_FULL_NON_CARTESIAN
1412;SMC_TRC_SPLINE3D_5_NOT_SUPPORTED
1413;SMC_TRC_ELLIPSES_NOT_SUPPORTED
1414;SMC_TRC_PLANE_CHANGE_NOT_ALLOWED
1415;SMC_CNC_INVALID_GEOINFO
1416;SMC_CNC_CANNOT_APPEND_TO_OUTQUEUE
1417;SMC_CNC_APPEND_ON_FIRST_RISING_EDGE
1430;SMC_AL_ELLIPSES_NOT_SUPPORTED
1450;SMC_NAV_MAX_SUBPROGRAM_NESTING_EXCEEDED
1451;SMC_NAV_RETURN_FROM_MAIN
1452;SMC_NAV_SUBPROGRAM_DECLARATION_NOT_FOUND
1453;SMC_NAV_NOT_ENOUGH_SPACE_FOR_COMPLETE_SENTENCE
1500;SMC_NO_CNC_REF_TYPE
1501;SMC_NO_OUTQUEUE_TYPE
1502;SMC_GEOINFO_BUFFER_MISALIGNED
1600;SMC_3D_MODE_NOT_SUPPORTED
1700;SMC_SAA_SMOOTHAREA_TOO_LARGE
1701;SMC_SAA_SP_INVALID_INPUT
1800;SMC_SA_QUEUE_NOT_IN_BUFFER
1801;SMC_SA_QUEUE_CHANGED_DURING_OP
1820;SMC_OS_INVALID_PARAMETER
1830;SMC_BSSP_IPO_NOT_ACTIVE
1831;SMC_BS_SAVEDPOS_NOT_REACHED
1832;SMC_BS_NO_POS_STORED
1900;SMC_INVALID_FEATURE_FLAG
1901;SMC_SMB_HFUN_NOT_SUPPORTED
1902;SMC_SMB_ONLY_3DMODE
1903;SMC_SMB_ERROR_COMPUTING_SPLINE
1910;SMC_SMM_INVALID_PARAM_NUMBER
1949;SMC_NOT_IMPLEMENTED
1950;SMC_INVALID_PARAMETER
1951;SMC_BLENDING_NOT_SUPPORTED_BY_PREVIOUS_MOVEMENT
1952;SMC_BUFFERED_NOT_SUPPORTED_BY_PREVIOUS_MOVEMENT
1953;SMC_INHERIT_OWNER_ACTIVE_MOVEMENT_NOT_CALLED
1954;SMC_MOVING_WITHOUT_ACTIVE_MOVEMENT
1955;SMC_BUFFER_MODE_NOT_SUPPORTED
1956;SMC_ERROR_IN_A_PREVIOUS_MOVEMENT
1957;SMC_MORE_THAN_ONE_MOVEMENT_PER_INSTANCE
1958;SMC_SUPERIMPOSED_FB_WASNT_CALLED
2000;SMC_RNCF_FILE_DOESNT_EXIST
2001;SMC_RNCF_NO_BUFFER
2002;SMC_RNCF_BUFFER_TOO_SMALL
2003;SMC_RNCF_DATA_UNDERRUN
2004;SMC_RNCF_VAR_COULDNT_BE_REPLACED
2005;SMC_RNCF_NOT_VARLIST
2006;SMC_RNCF_NO_STRINGBUFFER
2007;SMC_RNCF_STRINGBUFFER_OVERRUN
2008;SMC_RNCF_SUBPROGRAM_FILE_NOT_FOUND
2009;SMC_RNCF_FILE_CANNOT_DETERMINE_SIZE
2050;SMC_RNCQ_FILE_DOESNT_EXIST
2051;SMC_RNCQ_NO_BUFFER
2052;SMC_RNCQ_BUFFER_TOO_SMALL
2053;SMC_RNCQ_UNEXPECTED_EOF
2100;SMC_ADL_FILE_CANNOT_BE_OPENED
2101;SMC_ADL_BUFFER_OVERRUN
2200;SMC_RCAM_FILE_DOESNT_EXIST
2201;SMC_RCAM_TOO_MUCH_DATA
2202;SMC_RCAM_WRONG_COMPILE_TYPE
2203;SMC_RCAM_WRONG_VERSION
2204;SMC_RCAM_UNEXPECTED_EOF
2205;SMC_RCAM_WRITE_ERROR
2206;SMC_RCAM_READ_ERROR
3001;SMC_WDPF_CHANNEL_OCCUPIED
3002;SMC_WDPF_CANNOT_CREATE_FILE
3003;SMC_WDPF_ERROR_WHEN_READING_PARAMS
3004;SMC_WDPF_TIMEOUT_PREPARING_LIST
5000;SMC_ENC_DENOM_ZERO
5001;SMC_ENC_AXISUSEDBYOTHERFB
5002;SMC_ENC_FILTER_DEPTH_INVALID
6000;SMC_INTERNAL_ERROR_INIT_MOVEMENT
6001;SMC_INVALID_AXIS_TYPE
10000;SMC_PCCQ_POINTBUFFERTOOSMALL
10001;SMC_PCCQ_INPUTBUFFERFULLBUTNOTFINALIZED
10002;SMC_PCCQ_PATH_NOT_COMPLETELY_IN_INPUT_BUFFER
11000;SMC_AXIS_GROUP_WRONG_STATE
11001;SMC_AXIS_GROUP_TOO_MANY_AXES
11002;SMC_AXIS_GROUP_INVALID_DYNLIMITS
11004;SMC_AXIS_GROUP_INVALID_COORD_SYSTEM
11005;SMC_AXIS_GROUP_SINGLE_AXIS_ERROR
11006;SMC_MOVE_INVALID_BUFFER_MODE
11007;SMC_MOVE_INVALID_DYNAMIC_FACTOR
11008;SMC_MOVE_INVALID_DYNAMICS
11009;SMC_AXIS_GROUP_AXIS_NOT_PART_OF_GROUP
11010;SMC_AXIS_GROUP_NOT_SUPPORTED
11011;SMC_AXIS_GROUP_KINEMATICS_NOT_SET
11012;SMC_AXIS_GROUP_WRONG_NUMBER_OF_AXES
11013;SMC_AXIS_GROUP_INTERRUPTED_BY_SINGLE_AXIS
11014;SMC_AXIS_GROUP_FOLLOW_SETVALUES
11015;SMC_AXIS_GROUP_TOO_MANY_DEPENDENCIES
11016;SMC_AXIS_GROUP_MUTUAL_DEPENDENCY
11017;SMC_AXIS_GROUP_DEPENDENCY_IN_DIFFERENT_TASK
11018;SMC_AXIS_GROUP_AXIS_IN_DIFFERENT_TASK
11019;SMC_AXIS_GROUP_PCS_STILL_IN_USE
11020;SMC_AXIS_GROUP_CMD_ABORTED_DUE_TO_ERROR
11021;SMC_AXIS_GROUP_INVALID_PARAMETER
11022;SMC_AXIS_GROUP_UNSUPPORTED_RAMPTYPE
11023;SMC_MOVE_INVALID_TRANSITION_PARAMETER
11025;SMC_AXIS_GROUP_CPTR_CANNOT_FOLLOW
11026;SMC_AXIS_GROUP_CONTINUE_WRONG_POSITION
11027;SMC_AXIS_GROUP_CONTINUE_BUFFER_TOO_SMALL
11028;SMC_AXIS_GROUP_CONTINUE_WRONG_CHECKSUM
11029;SMC_AXIS_GROUP_IDLE_WAIT_AXES_MOVING
11030;SMC_AXIS_INVERSE_TRAFO_EXCEEDING_POSLIMITS
11031;SMC_AXIS_GROUP_CANNOT_ADD_SAME_AXIS
11032;SMC_AXIS_GROUP_TRANSFORMATION_NOT_SET
11033;SMC_AXIS_GROUP_NON_RESUMABLE_ERROR
11034;SMC_AXIS_GROUP_CONTINUE_DATA_NOT_WRITTEN
11036;SMC_AXIS_GROUP_INVALID_INTERRUPT_POSITION
11037;SMC_RELATIVE_MOVEMENT_TRACKING_CS
11038;SMC_RELATIVE_MOVEMENT_ABORTING_TRACKING
